time,#stopislam,#notinmyname,kafir
2015-02-09,144.0,480,5119
2015-02-10,76.0,415,4285
2015-02-11,95.0,805,3998
2015-02-12,82.0,696,4191
2015-02-13,72.0,423,4093
2015-02-14,117.0,461,4188
2015-02-15,218.0,503,4329
2015-02-16,93.0,502,4841
2015-02-17,183.0,581,5012
2015-02-18,160.0,519,4124
2015-02-19,142.0,432,3878
2015-02-20,133.0,378,4669
2015-02-21,131.0,199,5154
2015-02-22,110.0,231,4822
2015-02-23,212.0,275,4729
2015-02-24,351.0,1087,3901
2015-02-25,199.0,765,3706
2015-02-26,229.0,443,3694
2015-02-27,157.0,435,3708
2015-02-28,228.0,279,3913
2015-03-01,285.0,384,3793
2015-03-02,204.0,279,6059
2015-03-03,197.0,333,9440
2015-03-04,206.0,492,8533
2015-03-05,422.0,190,6725
2015-03-06,232.0,271,6714
2015-03-07,182.0,165,7160
2015-03-08,240.0,260,4196
2015-03-09,219.0,376,3734
2015-03-10,144.0,320,3617
2015-03-11,141.0,309,3531
2015-03-12,81.0,233,3581
2015-03-13,96.0,248,3967
2015-03-14,88.0,215,4021
2015-03-15,106.0,167,3587
2015-03-16,113.0,205,3329
2015-03-17,75.0,220,3367
2015-03-18,180.0,491,3673
2015-03-19,212.0,421,3339
2015-03-20,262.0,215,3424
2015-03-21,129.0,226,3672
2015-03-22,104.0,160,3548
2015-03-23,65.0,167,3494
2015-03-24,94.0,103,3649
2015-03-25,99.0,170,4101
2015-03-26,99.0,275,3693
2015-03-27,134.0,282,3607
2015-03-28,105.0,278,3700
2015-03-29,79.0,318,3533
2015-03-30,56.0,178,3620
2015-03-31,56.0,78,3475
2015-04-01,100.0,58,3555
2015-04-02,144.0,81,3534
2015-04-03,123.0,86,3653
2015-04-04,93.0,72,4199
2015-04-05,89.0,50,3702
2015-04-06,98.0,74,3786
2015-04-07,55.0,101,3859
2015-04-08,83.0,90,3713
2015-04-09,54.0,69,3456
2015-04-10,28.0,46,3863
2015-04-11,40.0,113,3728
2015-04-12,48.0,61,3592
2015-04-13,35.0,61,3487
2015-04-14,145.0,129,3361
2015-04-15,73.0,294,3409
2015-04-16,75.0,178,3646
2015-04-17,101.0,138,3633
2015-04-18,76.0,104,3847
2015-04-19,71.0,166,3572
2015-04-20,68.0,123,3427
2015-04-21,77.0,122,3516
2015-04-22,75.0,90,3722
2015-04-23,81.0,67,3404
2015-04-24,101.0,104,3622
2015-04-25,61.0,50,3694
2015-04-26,73.0,52,3502
2015-04-27,64.0,60,3798
2015-04-28,56.0,87,3561
2015-04-29,62.0,71,3367
2015-04-30,62.0,76,3176
2015-05-01,104.0,92,3365
2015-05-02,60.0,59,3285
2015-05-03,66.0,55,3223
2015-05-04,133.0,124,3007
2015-05-05,103.0,115,2982
2015-05-06,154.0,66,3070
2015-05-07,104.0,57,3090
2015-05-08,87.0,133,3028
2015-05-09,70.0,118,3179
2015-05-10,63.0,57,3109
2015-05-11,44.0,44,2888
2015-05-12,82.0,45,2869
2015-05-13,55.0,70,2863
2015-05-14,40.0,67,2954
2015-05-15,50.0,78,2780
2015-05-16,39.0,68,3091
2015-05-17,32.0,41,4294
